USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
15325253449835,29,11,958.0,3,1,1,311
15331195648034,56,1,159.0,4,4,3,443
15332282692471,2,3,132.0,1,2,3,123
15333520407363,19,2,144.0,2,3,3,233
15334844530513,52,1,96.0,4,4,4,444
15335086699958,49,2,266.0,4,3,2,432
15335131673390,52,1,139.0,4,4,3,443
15335822894605,51,4,642.48,4,1,1,411
15337272495302,49,1,154.0,4,4,3,443
15337535829099,30,4,359.68,3,1,1,311
15337865444104,32,7,449.0,3,1,1,311
15338483980372,48,2,288.0,4,3,2,432
15340906177190,45,1,102.0,3,4,4,344
15343399856845,4,2,273.0,1,3,2,132
15343514092632,13,2,237.0,2,3,2,232
15346003784482,5,12,1029.4599999999998,1,1,1,111
15348009181497,5,64,7091.6,1,1,1,111
15351372017309,33,2,217.0,3,3,2,332
15355521841394,28,1,39.0,3,4,4,344
15356584059139,27,2,173.0,3,3,3,333
15356789709432,26,5,732.6999999999999,3,1,1,311
15360275038617,21,1,66.0,2,4,4,244
15361946278256,20,1,119.0,2,4,4,244
15363883359223,18,2,208.0,2,3,2,232
15369598916062,12,1,141.58,1,4,3,143
15369794770081,11,4,506.0,1,1,1,111
15373266954947,7,1,166.9,1,4,3,143
15375698048095,5,2,265.56,1,3,2,132
15378414456259,1,1,166.88,1,4,3,143
153249010795139,26,1,60.84,3,4,4,344
153249807413349,4,6,420.0,1,1,1,111
153252069357666,63,1,97.23,4,4,4,444
153253985956774,25,2,305.5,2,3,2,232
153254002979670,3,5,466.0,1,1,1,111
153254596189848,3,2,183.06,1,3,2,132
153254718835771,3,13,1339.5000000000002,1,1,1,111
153254798675987,50,3,179.0,4,2,3,423
153255100929338,18,8,623.0,2,1,1,211
153256389280349,2,2,138.0,1,3,3,133
153256602866423,5,7,306.6,1,1,2,112
153257149017221,62,1,140.93,4,4,3,443
153257668834194,20,2,211.23000000000002,2,3,2,232
153258482410261,2,1,82.42,1,4,4,144
153260984618436,29,8,748.41,3,1,1,311
153261784338565,62,1,104.0,4,4,4,444
153262276261472,30,6,522.12,3,1,1,311
153263396969160,62,2,176.0,4,3,3,433
153263434053121,62,1,48.0,4,4,4,444
153265722973312,50,1,129.01,4,4,3,443
153265737667453,61,1,64.0,4,4,4,444
153270798583814,61,3,265.0,4,2,2,422
153271492866730,61,2,138.0,4,3,3,433
153271597138868,55,1,127.0,4,4,3,443
153272543494012,61,1,78.78,4,4,4,444
153274298180163,60,1,179.0,4,4,3,443
153274967721927,31,4,110.92,3,1,4,314
153275576850559,60,1,128.35,4,4,3,443
153279441104463,23,5,477.02,2,1,1,211
153279577641777,60,1,79.0,4,4,4,444
153279966180036,60,3,548.0,4,2,1,421
153282715486080,45,2,353.0,3,3,1,331
153283190732046,59,5,548.65,4,1,1,411
