,USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
15,15346003784482,5,12,1029.4599999999996,1,1,1,111
16,15348009181497,5,64,7091.6,1,1,1,111
25,15369794770081,11,4,506.0,1,1,1,111
30,153249807413349,4,6,420.0,1,1,1,111
33,153254002979670,3,5,466.0,1,1,1,111
35,153254718835771,3,13,1339.5000000000002,1,1,1,111
37,153255100929338,18,8,623.0,2,1,1,211
39,153256602866423,5,7,306.6,1,1,2,112
57,153279441104463,23,5,477.02,2,1,1,211
62,153283788206024,25,4,321.0,2,1,2,212
64,153286978984139,22,6,490.0,2,1,1,211
67,153288144501112,22,4,693.52,2,1,1,211
71,153296533543194,4,4,335.0,1,1,1,111
78,153313632509696,16,4,277.56,2,1,2,212
90,153343747864330,3,8,879.8900000000001,1,1,1,111
92,153345109242316,2,3,365.6,1,2,1,121
108,153374225720313,22,4,386.0,2,1,1,211
119,153434802311912,2,26,963.12,1,1,1,111
127,153489103436673,11,10,1119.0,1,1,1,111
128,153494092804557,19,4,728.7800000000002,2,1,1,211
130,153496941485825,5,3,247.0,1,2,2,122
132,153504790988753,25,3,379.0,2,2,1,221
139,153529383520049,24,9,609.0,2,1,1,211
149,153555248206994,13,3,461.62,2,2,1,221
153,153574680373492,20,4,391.06000000000006,2,1,1,211
165,153594984587887,23,10,1027.0,2,1,1,211
167,153600140281754,2,4,287.0,1,1,2,112
170,153604322689468,22,7,1100.46,2,1,1,211
176,153624933078067,12,8,338.48,1,1,1,111
177,153627135457425,20,3,550.5999999999998,2,2,1,221
179,153633884533222,5,5,339.4,1,1,1,111
181,153636709874015,18,4,576.0,2,1,1,211
189,153663065855258,15,3,507.16,2,2,1,221
191,153664273697250,15,21,3311.220000000001,2,1,1,211
194,153669449030949,3,3,234.0,1,2,2,122
196,153673651763540,13,6,534.0,2,1,1,211
202,153685323838863,13,3,386.53,2,2,1,221
208,153736192773722,7,3,497.25,1,2,1,121
216,153756023221049,5,3,529.0,1,2,1,121
226,153776382139489,2,6,547.0,1,1,1,111
229,153784100610292,1,9,1282.75,1,1,1,111
240,1532476690089800,11,11,1191.0,1,1,1,111
255,1532484602041770,21,3,276.18,2,2,2,222
256,1532484797901160,24,7,562.0,2,1,1,211
268,1532503372354650,11,12,908.9,1,1,1,111
272,1532511917228800,2,4,204.0,1,1,2,112
275,1532521453167240,6,6,1468.88,1,1,1,111
276,1532521652194580,4,23,1671.0,1,1,1,111
281,1532524098479680,2,3,357.0,1,2,1,121
289,1532527980980390,4,4,228.0,1,1,2,112
297,1532532467979760,16,3,257.0,2,2,2,222
298,1532534118860890,5,3,239.71,1,2,2,122
300,1532534758690210,3,7,256.0,1,1,2,112
308,1532540078750300,2,3,182.0,1,2,2,122
316,1532550840439130,2,6,654.0,1,1,1,111
317,1532550903479870,5,12,1519.2000000000005,1,1,1,111
319,1532552312491480,2,17,1283.0,1,1,1,111
320,1532552545046220,17,43,5724.02,2,1,1,211
321,1532552650905590,15,4,516.0,2,1,1,211
